sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
左營,高雄市,23,,良好,3.5,0.36,6.9,4.0,22,11,7.6,15.2,7.5,2.4,113,"2024-06-21 08:00",,0.1,7,12,1,120.292917,22.674861,54
楠梓,高雄市,17,,良好,3.1,0.2,6,2.9,28,5,7.3,16.6,9.2,2.5,169,"2024-06-21 08:00",,0.1,5.3,17,2,120.328289,22.733667,53
林園,高雄市,16,,良好,2.5,0.08,9.4,7.0,14,6,2.5,3.6,1,3.5,133,"2024-06-21 08:00",,0,4.1,16,0,120.41175,22.4795,52
大寮,高雄市,17,,良好,1,0.15,5.4,3.2,23,8,4.4,10.7,6.2,1.5,146,"2024-06-21 08:00",,0.1,4.5,17,0,120.425311,22.56413611,51
鳳山,高雄市,13,,良好,1.8,0.29,6.6,5.3,19,4,5.3,10.5,5.1,1.2,85,"2024-06-21 08:00",,0.1,2.1,13,2,120.357422,22.628126,50
仁武,高雄市,16,,良好,1,0.22,8.9,7.4,11,6,5.6,10.7,5,1.8,144,"2024-06-21 08:00",,0.1,4.9,10,1,120.332631,22.689056,49
橋頭,高雄市,14,,良好,1.8,0.2,6.4,2.9,14,3,6.6,16.6,10,2.7,154,"2024-06-21 08:00",,0.1,4.4,12,1,120.305689,22.757506,48
美濃,高雄市,15,,良好,0.7,0.13,8.6,5.4,17,2,1.9,3.9,1.9,1.2,97,"2024-06-21 08:00",,0.1,1.8,15,0,120.530542,22.883583,47
臺南,臺南市,12,,良好,0.6,0.21,6,4.3,12,2,6,11.3,5.2,2.7,177,"2024-06-21 08:00",,0.1,1.2,12,0,120.21947897,22.98928311,46
安南,臺南市,19,,良好,0.9,0.27,7,4.9,14,5,4.7,10.9,6.1,3,123,"2024-06-21 08:00",,0.1,5.7,13,1,120.2175,23.048197,45
善化,臺南市,19,,良好,0,0.09,7,5.6,12,6,2.4,5,2.6,2.4,170,"2024-06-21 08:00",,0,5.8,12,0,120.29740529,23.11337642,44
新營,臺南市,12,,良好,0.3,0.16,8.6,6.7,14,1,2.4,5.7,3.3,2.5,178,"2024-06-21 08:00",,0.1,1.2,12,0,120.31725,23.305633,43
嘉義,嘉義市,16,,良好,1.6,0.19,7.6,4.0,17,5,3.9,7.8,3.8,1.6,224,"2024-06-21 08:00",,0.1,5,16,0,120.44125148,23.46477865,42
臺西,雲林縣,15,,良好,1.1,0.15,8.9,4.1,22,1,3.4,6.5,3.1,3.4,198,"2024-06-21 08:00",,0.1,3,15,0,120.19933333,23.702175,41
朴子,嘉義縣,22,,良好,1.5,0.19,5.6,3.0,18,6,8,14.4,6.3,2,165,"2024-06-21 08:00",,0.1,5.9,22,0,120.2478,23.46538,40
新港,嘉義縣,25,,良好,1.7,0.15,9.3,9.4,28,5,5.2,11.3,6.1,1.7,164,"2024-06-21 08:00",,0.1,7.7,21,1,120.345531,23.554839,39
崙背,雲林縣,24,,良好,1.5,0.16,7.1,3.3,21,6,3.4,7.9,4.5,1.8,189,"2024-06-21 08:00",,0.1,7.5,19,0,120.348742,23.757547,38
斗六,雲林縣,18,,良好,2.2,0.24,10.1,7.8,21,5,5.7,11.7,5.9,0.6,312,"2024-06-21 08:00",,0.1,5.2,18,1,120.544994,23.711853,37
南投,南投縣,19,,良好,0.6,0.18,8.7,4.7,18,3,2.3,6.6,4.3,0.7,192,"2024-06-21 08:00",,0.1,4.3,19,0,120.685306,23.913,36
二林,彰化縣,35,,良好,1.5,0.13,10.4,4.7,34,13,4.7,9,4.3,2.2,193,"2024-06-21 08:00",,0.1,10.8,31,1,120.409653,23.925175,35
線西,彰化縣,12,,良好,0.7,0.14,11.1,9.0,12,5,3.1,6.5,3.4,3.8,214,"2024-06-21 08:00",,0.1,2.8,12,0,120.469061,24.131672,34
彰化,彰化縣,13,,良好,1.9,0.14,11.5,9.1,13,1,4.1,7.4,3.3,2.7,207,"2024-06-21 08:00",,0.1,3.2,13,1,120.541519,24.066,33
西屯,臺中市,20,,良好,1.2,0.23,7.2,5.6,25,6,7.8,17,9.1,1.9,201,"2024-06-21 08:00",,0.1,6.2,20,1,120.616917,24.162197,32
忠明,臺中市,15,,良好,1.1,0.29,9,7.6,11,3,6.8,13.1,6.2,1.7,169,"2024-06-21 08:00",,0.1,4.7,13,1,120.641092,24.151958,31
大里,臺中市,23,,良好,0.9,0.31,7.2,6.0,21,6,6.9,13.5,6.5,1.4,248,"2024-06-21 08:00",,0.1,7,15,1,120.67844444,24.09961111,30
沙鹿,臺中市,14,,良好,1,0.22,9.1,9.3,13,5,6,12.6,6.5,3,187,"2024-06-21 08:00",,0.1,4.2,11,0,120.568794,24.225628,29
豐原,臺中市,12,,良好,1,0.17,12.7,13.5,10,2,2.1,5.3,3.2,3.7,197,"2024-06-21 08:00",,0.1,2.3,8,1,120.74252414,24.25699731,28
三義,苗栗縣,19,,良好,1,0.1,11.6,11.5,4,5,0.8,3.2,2.3,4.1,192,"2024-06-21 08:00",,0,5.8,8,1,120.75956754,24.38248443,27
苗栗,苗栗縣,17,,良好,1.1,0.17,10.8,10.9,5,3,2.6,5.7,3.1,3.8,191,"2024-06-21 08:00",,0.1,5.2,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,14,,良好,1.7,0.24,10.5,9.6,12,4,3.7,8.3,4.5,4,225,"2024-06-21 08:00",,0.1,4.2,13,1,120.89869286,24.69690679,25
新竹,新竹市,11,,良好,1.3,0.23,9.8,7.2,7,5,5.5,9.4,3.9,1.9,216,"2024-06-21 08:00",,0.1,3.5,7,,120.97236752,24.8056356,24
竹東,新竹縣,24,,良好,0.7,0.18,6.7,2.7,20,6,3.7,7.9,4.1,1.3,211,"2024-06-21 08:00",,0.1,7.3,18,0,121.08895493,24.74091408,23
湖口,新竹縣,26,,良好,1.9,0.19,9.9,7.5,8,6,6.4,11.7,5.3,4.5,236,"2024-06-21 08:00",,0.1,8,10,0,121.03886894,24.90009696,22
龍潭,桃園市,20,,良好,1.1,0.18,10.5,7.7,7,6,4.8,9.6,4.7,2.4,225,"2024-06-21 08:00",,0.1,6.3,13,0,121.21645772,24.86400048,21
平鎮,桃園市,15,,良好,0.2,0.21,8.1,5.9,16,6,8,14.5,6.5,2.2,237,"2024-06-21 08:00",,0.1,4.5,14,0,121.203986,24.952786,20
觀音,桃園市,21,,良好,1,0.11,10.5,8.4,8,9,4.1,7.2,3.1,3.6,251,"2024-06-21 08:00",,0.1,6.5,9,0,121.08283092,25.03556747,19
大園,桃園市,14,,良好,1.3,0.19,9.7,8.5,5,4,6.3,12.1,5.8,4.2,236,"2024-06-21 08:00",,0.1,4.3,8,0,121.20251473,25.06100357,18
桃園,桃園市,14,,良好,0.9,0.27,9.7,7.9,8,0,7.7,13,5.3,1.8,207,"2024-06-21 08:00",,0.1,4.4,9,0,121.30500531,24.9947107,17
大同,臺北市,48,,良好,1.9,2.28,3.2,3.6,22,16,22.7,106.3,83.5,-,-,"2024-06-21 08:00",,0.9,14.8,25,1,121.51342074,25.06331455,16
松山,臺北市,39,,良好,0.7,0.36,7.8,6.6,22,10,14.2,35.4,21.1,0.5,105,"2024-06-21 08:00",,0.2,11.9,22,0,121.578611,25.05,15
古亭,臺北市,39,,良好,0.8,0.3,9.5,6.1,22,10,9.1,15.9,6.8,1,47,"2024-06-21 08:00",,0.2,11.9,22,0,121.529556,25.020608,14
萬華,臺北市,36,,良好,0,0.34,10.2,6.8,22,13,8.9,15.5,6.6,0.6,76,"2024-06-21 08:00",,0.2,11.1,24,0,121.507972,25.046503,13
中山,臺北市,41,,良好,1,0.46,9.9,5.9,21,12,10.2,20.4,10.1,0.9,235,"2024-06-21 08:00",,0.3,12.6,22,0,121.526528,25.062361,12
士林,臺北市,39,,良好,0.8,0.26,10.4,4.0,16,13,10.5,17.9,7.4,1.7,203,"2024-06-21 08:00",,0.2,11.9,17,0,121.51666356,25.10334003,11
淡水,新北市,13,,良好,1.5,0.17,18.9,,13,0,8.9,14.2,5.3,1.7,190,"2024-06-21 08:00",,,3.4,11,1,121.449239,25.1645,10
林口,新北市,26,,良好,1,0.24,8.3,5.9,12,5,11,23.7,12.6,2.6,260,"2024-06-21 08:00",,0.1,8,11,0,121.36548982,25.07798949,9
菜寮,新北市,44,,良好,0.9,0.45,10.4,5.1,21,11,10.4,18.1,7.7,1.8,153,"2024-06-21 08:00",,0.4,13.6,24,0,121.481028,25.06895,8
新莊,新北市,48,,良好,0.4,0.37,12.9,4.1,23,12,9.8,16.3,6.4,1.1,181,"2024-06-21 08:00",,0.3,14.9,29,0,121.4325,25.037972,7
板橋,新北市,36,,良好,1,0.46,11.1,5.2,21,9,12.6,20.4,7.8,1.3,121,"2024-06-21 08:00",,0.3,11,22,0,121.458667,25.012972,6
土城,新北市,64,細懸浮微粒,普通,0.7,0.38,10,3.8,24,23,11.5,21.4,9.8,0.7,128,"2024-06-21 08:00",,0.3,20.8,27,1,121.451861,24.982528,5
新店,新北市,44,,良好,0.7,0.34,9.7,7.0,23,13,8.3,16.4,8.1,0.8,252,"2024-06-21 08:00",,0.2,13.4,27,0,121.537778,24.977222,4
萬里,新北市,28,,良好,0.6,0.21,12.1,7.7,19,4,6.2,11.8,5.6,1.3,165,"2024-06-21 08:00",,0.2,8.5,21,0,121.689881,25.179667,3
汐止,新北市,44,,良好,1.2,0.76,8.5,3.8,22,14,12.1,25.3,13.2,1.4,260,"2024-06-21 08:00",,0.5,13.4,24,1,121.64081,25.06624,2
基隆,基隆市,28,,良好,1.2,0.27,10.1,4.2,15,4,7.1,12.9,5.8,1.5,263,"2024-06-21 08:00",,0.2,8.7,19,1,121.760056,25.129167,1
屏東(枋山),屏東縣,8,,良好,0.2,0.13,7.4,8.1,12,2,1.1,2.8,1.7,4,92,"2024-06-21 07:00",,0.1,,8,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,15,,良好,0.6,0.23,6.3,10.2,11,4,9.1,35.3,26.1,1.2,116,"2024-06-21 07:00",,0.2,2.9,8,0,120.65525382,24.39017512,312
新北(樹林),新北市,48,,良好,0.2,0.21,4.4,5.3,32,13,7.1,14.5,7.3,0,83,"2024-06-21 07:00",,0.1,14.7,29,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,19,,良好,0.2,0.04,5.9,7.1,9,8,0.9,1.6,0.7,0.8,120,"2024-06-21 07:00",,0,5.8,9,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,14,,良好,1.4,0.16,3.5,4.4,17,5,4.7,11.4,6.7,1,133,"2024-06-21 07:00",,0.1,3.9,14,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,19,,良好,0.7,0.2,2.7,3.3,14,6,5.8,11.7,5.9,1.5,150,"2024-06-21 07:00",,0.1,5.8,12,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,22,,良好,1.6,0.1,9.1,10.8,11,11,4.6,7,2.4,0.8,107,"2024-06-21 07:00",,0,6.7,12,1,120.56373,23.96117,201
大城,彰化縣,13,,良好,1.5,0.08,4.2,5.8,17,0,4.6,8.3,3.7,1.5,194,"2024-06-21 07:00",,0,2.5,13,1,120.26964167,23.85493056,85
富貴角,新北市,23,,良好,1,0.17,11.1,11.6,14,8,4.9,8.1,3.2,2.2,245,"2024-06-21 07:00",,0.1,7,15,0,121.53656894,25.29681695,84
麥寮,雲林縣,11,,良好,1.8,0.18,4.9,5.4,21,1,3,8.5,5.4,3,173,"2024-06-21 07:00",,0.1,2,11,1,120.251825,23.753506,83
關山,臺東縣,23,,良好,0.1,0.09,1.4,0.9,24,1,2,6.7,4.6,0.9,167,"2024-06-21 07:00",,0,2.6,23,0,121.161933,23.045083,80
馬公,澎湖縣,12,,良好,0.8,0.12,12.4,13.4,3,2,3.5,4.5,0.9,0.3,218,"2024-06-21 07:00",,0,,4,0,119.566158,23.569031,78
金門,金門縣,9,,良好,0.6,0.11,9.5,10.6,4,1,5.6,8.2,2.6,1.9,203,"2024-06-21 07:00",,0,2,4,0,118.312256,24.432133,77
馬祖,連江縣,13,,良好,0.8,0.09,13,9.7,12,6,3.7,5.3,1.6,5.5,215,"2024-06-21 07:00",,0,4.1,11,0,119.93149378,26.15188416,75
埔里,南投縣,34,,良好,1,0.18,3.4,3.8,20,13,2.6,6.5,3.9,0.6,5,"2024-06-21 07:00",,0.1,10.4,19,1,120.967903,23.968842,72
復興,高雄市,12,,良好,4.2,0.24,3,3.8,10,3,7.2,13,5.8,0.4,189,"2024-06-21 07:00",,0.1,3.5,8,1,120.312017,22.608711,71
永和,新北市,43,,良好,0.6,0.5,5,6.5,25,11,6.9,18.5,11.6,1,139,"2024-06-21 07:00",,0.3,13.1,23,1,121.516306,25.017,70
竹山,南投縣,23,,良好,1.1,0.21,3.6,3.9,23,10,4.5,8.6,4,0.4,1,"2024-06-21 07:00",,0.1,7,17,0,120.677306,23.756389,69
中壢,桃園市,28,,良好,,0.87,3.4,7.3,15,8,13,56.2,43.2,0.3,171,"2024-06-21 07:00",,0.4,8.6,12,0,121.221667,24.953278,68
三重,新北市,44,,良好,0.8,0.94,2.3,3.8,26,17,17.3,75.6,58.2,-,-,"2024-06-21 07:00",,0.6,13.7,24,1,121.493806,25.072611,67
冬山,宜蘭縣,29,,良好,0,0.35,2.6,1.2,22,9,6,14.7,8.6,1.2,19,"2024-06-21 07:00",,0.2,8.2,29,0,121.792928,24.632203,66
宜蘭,宜蘭縣,16,,良好,0.8,0.18,10.3,9.3,19,7,3.5,5.3,1.8,1.1,349,"2024-06-21 07:00",,0.1,4.8,16,0,121.746394,24.747917,65
陽明,臺北市,15,,良好,0.6,0.14,9.1,16.6,10,2,3.7,5,1.2,1.8,100,"2024-06-21 07:00",,0.1,3.6,8,0,121.529583,25.182722,64
花蓮,花蓮縣,11,,良好,0,0.14,2.6,7.4,14,2,2.2,3.8,1.5,1.3,213,"2024-06-21 07:00",,0.1,2,11,0,121.599769,23.971306,63
臺東,臺東縣,10,,良好,1.8,0.13,3,1.5,11,3,4.7,8.3,3.6,0.4,199,"2024-06-21 07:00",,0,0.9,10,0,121.15045,22.755358,62
恆春,屏東縣,13,,良好,0.6,0.09,11.6,8.8,13,2,0.7,1.1,0.3,3.8,168,"2024-06-21 07:00",,0,3.9,9,0,120.788928,21.958069,61
潮州,屏東縣,13,,良好,0,0.07,3.7,2.7,19,1,2.5,3.8,1.2,0.7,58,"2024-06-21 07:00",,0,1.4,13,0,120.561175,22.523108,60
屏東,屏東縣,13,,良好,0.4,0.15,3.4,2.9,21,5,4.6,7.8,3.1,0.9,21,"2024-06-21 07:00",,0.1,2.5,13,0,120.488033,22.673081,59
小港,高雄市,20,,良好,5.4,0.35,2.6,2.2,23,5,9.2,21.9,12.6,1.3,134,"2024-06-21 07:00",,0.3,6.2,18,2,120.337736,22.565833,58
前鎮,高雄市,12,,良好,5.1,0.36,3,4.5,16,5,7.8,15.9,8.1,0.8,143,"2024-06-21 07:00",,0.1,3.8,11,1,120.30833356,22.6044507,57
前金,高雄市,10,,良好,3.3,0.18,4.4,3.5,6,5,6.8,10.1,3.3,2,162,"2024-06-21 07:00",,0.1,3,10,1,120.28676111,22.63390278,56
左營,高雄市,19,,良好,3.1,0.18,4.7,3.3,9,5,5.4,8.8,3.4,2.1,129,"2024-06-21 07:00",,0.1,6,10,1,120.292917,22.674861,54
楠梓,高雄市,18,,良好,1.1,0.2,1.6,2.8,20,6,8.2,20.8,12.6,0.2,73,"2024-06-21 07:00",,0.1,5.5,14,2,120.328289,22.733667,53
林園,高雄市,16,,良好,1.5,0.12,6,7.0,26,6,3.7,5,1.2,0.9,116,"2024-06-21 07:00",,0,3.9,16,0,120.41175,22.4795,52
大寮,高雄市,16,,良好,0.6,0.14,1.7,3.6,20,3,6.1,12.9,6.8,0.8,113,"2024-06-21 07:00",,0,4.1,16,0,120.425311,22.56413611,51
鳳山,高雄市,12,,良好,1.6,0.24,3.6,5.3,15,2,5.3,9.1,3.8,0.7,82,"2024-06-21 07:00",,0.1,1.7,12,2,120.357422,22.628126,50
仁武,高雄市,15,,良好,0.7,0.18,5.6,7.4,15,5,5.7,9.3,3.5,1.2,109,"2024-06-21 07:00",,0.1,4.5,9,1,120.332631,22.689056,49
橋頭,高雄市,17,,良好,0.9,0.15,2.5,2.8,13,3,6.5,13.2,6.6,1.2,82,"2024-06-21 07:00",,0.1,5.1,11,1,120.305689,22.757506,48
美濃,高雄市,15,,良好,0.9,0.14,4.6,5.4,19,2,2.3,4,1.7,0.8,34,"2024-06-21 07:00",,0.1,2.2,15,0,120.530542,22.883583,47
臺南,臺南市,11,,良好,0.5,0.14,3.8,4.7,13,1,6.5,10,3.4,1.4,179,"2024-06-21 07:00",,0.1,1.2,11,0,120.21947897,22.98928311,46
安南,臺南市,19,,良好,1.1,0.2,3.6,4.8,15,6,5.3,10.1,4.8,1.6,109,"2024-06-21 07:00",,0.1,5.8,13,1,120.2175,23.048197,45
善化,臺南市,19,,良好,0,0.08,3.5,5.4,19,5,3.8,7.1,3.3,1.7,147,"2024-06-21 07:00",,0,5.8,12,0,120.29740529,23.11337642,44
新營,臺南市,11,,良好,0.2,0.12,5.4,6.6,16,3,3.3,6.3,3,1.5,179,"2024-06-21 07:00",,0,1.5,11,0,120.31725,23.305633,43
嘉義,嘉義市,17,,良好,1,0.16,3.2,4.0,17,6,4.2,7.4,3.2,1.2,98,"2024-06-21 07:00",,0.1,5.1,16,0,120.44125148,23.46477865,42
臺西,雲林縣,13,,良好,0.8,0.13,4.9,3.8,18,3,4.1,6.8,2.7,2.6,194,"2024-06-21 07:00",,0.1,3.2,13,0,120.19933333,23.702175,41
朴子,嘉義縣,23,,良好,1.4,0.19,2.6,2.8,35,8,9.6,16.8,7.1,1,167,"2024-06-21 07:00",,0.1,5.7,23,0,120.2478,23.46538,40
新港,嘉義縣,25,,良好,1.6,0.13,8.3,9.7,20,9,5.4,10.3,4.9,0.7,146,"2024-06-21 07:00",,0.1,7.7,18,1,120.345531,23.554839,39
崙背,雲林縣,26,,良好,1.6,0.15,3.1,3.3,21,9,4.9,10.5,5.5,1.1,177,"2024-06-21 07:00",,0.1,8.1,19,0,120.348742,23.757547,38
斗六,雲林縣,18,,良好,1.1,0.22,5.2,8.1,25,4,5.4,9.9,4.4,0.3,101,"2024-06-21 07:00",,0.1,5.5,17,1,120.544994,23.711853,37
南投,南投縣,19,,良好,0.4,0.16,3.5,4.8,21,4,3.5,8.1,4.5,0.6,159,"2024-06-21 07:00",,0.1,4.5,19,0,120.685306,23.913,36
二林,彰化縣,34,,良好,1.3,0.15,5.3,4.9,42,10,5.9,10,4,1.6,123,"2024-06-21 07:00",,0.1,10.6,31,1,120.409653,23.925175,35
線西,彰化縣,13,,良好,0.6,0.12,8.2,9.8,10,3,4.5,5.9,1.4,2.1,199,"2024-06-21 07:00",,0.1,2,13,1,120.469061,24.131672,34
彰化,彰化縣,13,,良好,1.5,0.17,8.7,9.7,13,4,5.2,7.4,2.2,1.4,192,"2024-06-21 07:00",,0,3.5,13,1,120.541519,24.066,33
西屯,臺中市,20,,良好,1.2,0.16,4.8,6.2,25,5,7.2,11.9,4.7,1.1,190,"2024-06-21 07:00",,0.1,6.3,19,1,120.616917,24.162197,32
忠明,臺中市,15,,良好,0.6,0.22,5.8,8.4,12,4,5,8.1,3.1,0.3,205,"2024-06-21 07:00",,0.1,4.5,14,1,120.641092,24.151958,31
大里,臺中市,23,,良好,0.8,0.26,5.3,6.4,13,8,6.9,11.9,5,1.3,254,"2024-06-21 07:00",,0.1,7,13,1,120.67844444,24.09961111,30
沙鹿,臺中市,12,,良好,0.8,0.16,7.6,10.3,12,6,6,9,3,2.5,163,"2024-06-21 07:00",,0.1,3.8,11,0,120.568794,24.225628,29
豐原,臺中市,13,,良好,0.9,0.13,11.9,14.0,5,3,2.3,5,2.7,2.6,170,"2024-06-21 07:00",,0.1,2.6,8,1,120.74252414,24.25699731,28
三義,苗栗縣,20,,良好,0.9,0.1,10,11.8,9,6,1.2,3.1,1.9,3.7,182,"2024-06-21 07:00",,0,6.1,8,1,120.75956754,24.38248443,27
苗栗,苗栗縣,17,,良好,1.1,0.11,9.1,11.3,7,5,4,6.3,2.3,4.1,200,"2024-06-21 07:00",,0,5.3,5,1,120.82011468,24.56499183,26
頭份,苗栗縣,13,,良好,1.9,0.21,7.1,9.3,19,7,5.8,9.8,3.9,2.4,229,"2024-06-21 07:00",,0.1,4,13,1,120.89869286,24.69690679,25
新竹,新竹市,12,,良好,1.8,0.18,6.6,6.4,9,6,7,10.3,3.2,1.7,229,"2024-06-21 07:00",,0.1,3.2,7,,120.97236752,24.8056356,24
竹東,新竹縣,26,,良好,0.8,0.19,2.9,2.3,17,7,3.6,6.8,3.2,1,135,"2024-06-21 07:00",,0.1,7.9,17,0,121.08895493,24.74091408,23
湖口,新竹縣,27,,良好,2,0.17,6.4,6.7,8,9,7.6,11.6,4,2.6,227,"2024-06-21 07:00",,0.1,8.4,10,0,121.03886894,24.90009696,22
龍潭,桃園市,21,,良好,1,0.16,5.4,7.6,16,6,7.1,11.7,4.6,1.5,197,"2024-06-21 07:00",,0.1,6.5,14,0,121.21645772,24.86400048,21
平鎮,桃園市,13,,良好,0.3,0.19,4.9,6.2,14,6,8.7,13.7,5,1.3,213,"2024-06-21 07:00",,0.1,4.1,13,0,121.203986,24.952786,20
觀音,桃園市,19,,良好,2.3,0.11,7.1,7.7,11,7,4.8,8.1,3.2,2.4,259,"2024-06-21 07:00",,0.1,5.8,9,0,121.08283092,25.03556747,19
大園,桃園市,13,,良好,0.8,0.17,7.7,8.4,8,6,6.3,9.6,3.3,1.7,225,"2024-06-21 07:00",,0.1,4.1,8,0,121.20251473,25.06100357,18
桃園,桃園市,18,,良好,0.8,0.18,7.1,7.3,7,4,7,10.2,3.1,1.3,187,"2024-06-21 07:00",,0.1,5.6,9,1,121.30500531,24.9947107,17
大同,臺北市,46,,良好,1.3,1.17,2.5,3.5,31,15,14.9,77.6,62.6,-,-,"2024-06-21 07:00",,0.8,14.3,26,1,121.51342074,25.06331455,16
松山,臺北市,40,,良好,0.4,0.26,6.3,6.5,21,14,11.4,20.5,9.1,1.2,196,"2024-06-21 07:00",,0.2,12.2,22,0,121.578611,25.05,15
古亭,臺北市,38,,良好,0.5,0.26,3.8,5.3,23,9,7.2,12.8,5.6,1.1,129,"2024-06-21 07:00",,0.2,11.8,22,0,121.529556,25.020608,14
萬華,臺北市,37,,良好,0,0.28,5.4,6.6,22,12,7.1,11.8,4.7,1,144,"2024-06-21 07:00",,0.2,11.3,25,0,121.507972,25.046503,13
中山,臺北市,42,,良好,0.4,0.33,5.4,5.7,25,13,8.3,14.3,6,0.9,262,"2024-06-21 07:00",,0.3,13,22,0,121.526528,25.062361,12
士林,臺北市,39,,良好,0.3,0.24,4.2,3.3,15,10,12.7,24.3,11.6,1.4,345,"2024-06-21 07:00",,0.3,12.1,17,0,121.51666356,25.10334003,11
淡水,新北市,10,,良好,1.1,0.04,10.6,,0,0,6.9,12.6,5.6,0.3,300,"2024-06-21 07:00",,,,,1,121.449239,25.1645,10
林口,新北市,28,,良好,0.8,0.2,4.3,6.2,13,8,11.4,24.4,13,2.3,241,"2024-06-21 07:00",,0.1,8.5,11,0,121.36548982,25.07798949,9
菜寮,新北市,46,,良好,0.7,0.43,4.5,5.3,22,13,10.7,18,7.3,1,165,"2024-06-21 07:00",,0.4,14.2,24,0,121.481028,25.06895,8
新莊,新北市,51,細懸浮微粒,普通,0.2,0.36,5.6,3.3,36,16,12.4,19.5,7.1,0.9,146,"2024-06-21 07:00",,0.3,15.7,30,0,121.4325,25.037972,7
板橋,新北市,36,,良好,0.9,0.37,5.7,4.5,26,13,13.2,21.3,8.1,0.4,153,"2024-06-21 07:00",,0.3,11,23,0,121.458667,25.012972,6
土城,新北市,61,細懸浮微粒,普通,0.6,0.5,1.4,3.1,33,24,14,57.2,43.2,0.7,161,"2024-06-21 07:00",,0.3,19.7,28,1,121.451861,24.982528,5
新店,新北市,44,,良好,0.5,0.22,6.6,7.4,36,12,3.5,7.1,3.6,1.7,185,"2024-06-21 07:00",,0.1,13.5,28,0,121.537778,24.977222,4
萬里,新北市,31,,良好,0.4,0.26,6.2,7.8,19,8,6.8,13,6.1,0.5,158,"2024-06-21 07:00",,0.2,9.6,21,0,121.689881,25.179667,3
汐止,新北市,42,,良好,1.1,0.59,2.3,3.1,32,18,11.1,40.2,29.1,0.9,77,"2024-06-21 07:00",,0.4,13,25,1,121.64081,25.06624,2
基隆,基隆市,31,,良好,0.9,0.28,5.7,3.5,20,7,7.4,13.8,6.4,0.6,295,"2024-06-21 07:00",,0.2,9.4,21,1,121.760056,25.129167,1
屏東(枋山),屏東縣,8,,良好,0.1,0.13,,8.5,10,0,1.4,2.2,0.8,4.1,89,"2024-06-21 06:00",,0.1,,8,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,10,,良好,0.4,0.19,6.5,10.8,9,5,6.4,8.3,1.8,0.9,106,"2024-06-21 06:00",,0.2,2.6,7,0,120.65525382,24.39017512,312
新北(樹林),新北市,49,,良好,0.2,0.16,4,6.0,30,17,5.7,9.4,3.7,0,36,"2024-06-21 06:00",,0.1,15,29,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,17,,良好,0.2,0.03,6.4,7.5,10,6,0.9,1.3,0.4,0.3,16,"2024-06-21 06:00",,0,5.1,9,0,120.37722,22.35222,204
臺南（麻豆）,臺南市,12,,良好,0.9,0.15,1.6,4.3,16,3,6.6,14.1,7.4,0.2,119,"2024-06-21 06:00",,0.1,3.8,12,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,17,,良好,0.9,0.14,1.2,3.7,15,7,7.3,11,3.7,1.4,125,"2024-06-21 06:00",,0.1,5.3,12,0,120.24535,22.87985556,202
彰化（員林）,彰化縣,19,,良好,1.5,0.09,6.9,12.0,18,9,5,6.9,1.8,0.5,95,"2024-06-21 06:00",,0,6,13,1,120.56373,23.96117,201
大城,彰化縣,12,,良好,1.3,0.04,12.4,6.9,11,2,4.5,5.4,0.8,0.3,250,"2024-06-21 06:00",,0,2.7,12,1,120.26964167,23.85493056,85
富貴角,新北市,22,,良好,0.8,0.14,10,12.2,9,5,5.9,6.9,0.9,1.1,213,"2024-06-21 06:00",,0.1,6.7,15,0,121.53656894,25.29681695,84
麥寮,雲林縣,9,,良好,1.5,0.12,3.9,6.2,13,1,3.5,5.5,1.9,1.7,175,"2024-06-21 06:00",,0.1,2.1,9,1,120.251825,23.753506,83
關山,臺東縣,22,,良好,0.2,0.08,0.3,1.0,24,1,2,4.6,2.6,0.4,174,"2024-06-21 06:00",,0,2.9,22,0,121.161933,23.045083,80
馬公,澎湖縣,12,,良好,0.7,0.09,14.3,13.7,5,4,2.1,2.4,0.2,0.3,208,"2024-06-21 06:00",,0,,4,0,119.566158,23.569031,78
金門,金門縣,13,,良好,0.7,0.11,10,10.8,4,3,8.2,9.9,1.6,1.7,201,"2024-06-21 06:00",,0,2.2,3,0,118.312256,24.432133,77
馬祖,連江縣,11,,良好,0.8,0.1,11.5,9.6,14,4,4.8,5.7,0.9,3.6,197,"2024-06-21 06:00",,0,3.5,11,0,119.93149378,26.15188416,75
埔里,南投縣,31,,良好,0.8,0.15,3.4,4.5,20,12,3.4,5.2,1.8,0.8,212,"2024-06-21 06:00",,0.1,9.7,19,1,120.967903,23.968842,72
復興,高雄市,12,,良好,2.6,0.16,2.3,4.2,11,4,6.7,9.4,2.7,1.1,107,"2024-06-21 06:00",,0.1,3.6,7,1,120.312017,22.608711,71
